Puller Meas. (mm),Carriage Meas. (mm),Num rollers relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
-21.53,19.71,,,,,64.08,105.59,
-20.9,19.62,,,,,,,
-20.28,19.18,,,,,,,
-19.61,18.47,,,,,,,
-18.91,17.75,,,,,,,
-18.27,17.11,,,,,,,
-17.63,16.44,,,,,,,
-16.91,15.68,,,,,,,
-16.27,15.01,,,,,,,
-15.62,14.35,2,14.4,,,,,
-14.91,13.72,,,,,,,
-14.27,13.03,,,,,,,
-13.61,12.34,,,,,,,
-12.89,11.64,,,,,,,
-12.26,10.96,,,,,,,
-11.6,10.29,2,10.37,,,,,
-10.88,9.63,,,,,,,
-10.25,8.95,,,,,,,
-9.6,8.28,,,,,,,
-8.88,7.52,,,,,,,
-8.26,6.88,,,,,,,
-7.59,6.2,2,6.27,,,,,
-6.88,5.48,,,,,,,
-6.23,4.79,,,,,,,
-5.57,4.08,,,,,,,
-4.87,3.3,,,,,,,
-4.23,2.58,,,,,,,
-3.56,1.86,1,1.89,,,,,
-2.84,1.07,,,,,,,
-2.22,0.42,,,,,,,
-1.56,-0.28,,,-24.95,24,,,
-24.25,23.56,,,,,,,
-23.6,22.88,1,22.89,,,,,
-22.93,22.14,,,,,,,
-22.24,21.42,,,,,,,
-21.6,20.69,,,,,,,
-20.94,20.04,,,,,,,
-20.23,19.25,,,,,,,
-19.59,18.54,1,18.55,,,,,
-18.92,17.84,,,,,,,
-18.24,17.1,,,,,,,
-17.59,16.43,,,,,,,
-16.92,15.7,,,,,,,
-16.2,14.93,,,,,,,
-15.58,14.23,1,14.24,,,,,
-14.91,13.58,,,,,,,
-14.22,12.84,,,,,,,
-13.58,12.15,,,,,,,
-12.91,11.42,,,,,,,
-12.25,10.72,,,,,,,
-11.56,10.05,1,10.05,,,,,
-10.92,9.38,,,,,,,
-10.23,8.67,,,,,,,
-9.58,7.97,,,,,,,
-8.9,7.31,,,,,,,
-8.24,6.67,,,,,,,
-7.58,6,1,5.99,,,,,
-6.91,5.31,,,,,,,
-6.26,4.67,,,,,,,
-5.59,3.99,,,,,,,
-4.92,3.39,,,,,,,
-4.28,2.84,,,,,,,
-3.63,2.48,,,,,,,
-3.01,2.53,,,,,,,
-2.44,2.55,,,,,,,
-1.81,2.59,,,,,,,
-1.36,2.64,,,,,,,
